lem,index,token,stem,pos,counts
graphic,161,graphic,graphic,JJ,42
doll,622,doll,doll,NN,42
eroticism,10815,eroticism,erotic,NN,42
southern,6905,southern,southern,JJ,42
medical,1627,medical,medic,JJ,42
prince,4603,prince,princ,NN,42
jungle,5449,jungle,jungl,NN,42
underwater,286,underwater,underwat,NN,42
tree,1464,tree,tree,NN,42
national,750,national,nation,JJ,42
rome,6322,rome,rome,NN,41
forbidden,4033,forbidden,forbidden,NN,41
pregnant,5758,pregnant,pregnant,NN,41
aid,9690,aids,aid,NN,41
fish,13182,fish,fish,NN,41
knife,11277,knife,knife,NN,41
heart,2725,heart,heart,NN,41
fake,184,fake,fake,NN,41
widower,923,widower,widow,NN,41
christianity,7191,christianity,christian,NN,41
theater,4890,theater,theater,NN,41
korean,2732,korean,korean,NN,41
ocean,355,ocean,ocean,NN,41
occupation,12639,occupation,occup,NN,41
organize,4670,organized,organ,VB,41
boarding,3503,boarding,board,NN,41
basketball,924,basketball,basketbal,NN,40
asylum,6578,asylum,asylum,NN,40
cave,390,cave,cave,NN,40
hand,6407,hand,hand,NN,40
light,2335,light,light,NN,40
sadism,7572,sadism,sadism,NN,40
holocaust,1526,holocaust,holocaust,NN,40
grandchild,21755,grandchild,grandchild,NN,40
gold,258,gold,gold,NN,40
marvel,4413,marvel,marvel,NN,40
red,15457,red,red,JJ,40
special,5446,special,special,JJ,40
education,23315,education,educ,NN,40
russian,4667,russian,russian,JJ,40
wolf,2894,wolf,wolf,NN,40
wheelchair,1040,wheelchair,wheelchair,NN,40
hacker,8475,hacker,hacker,NN,39
prehistoric,10692,prehistoric,prehistor,NN,39
virtual,7454,virtual,virtual,JJ,39
refugee,982,refugee,refuge,NN,39
bird,4987,bird,bird,NN,39
estrange,2259,estranged,estrang,VB,39
sweden,1599,sweden,sweden,NN,39
online,1022,online,onlin,NN,39
stand,5259,stand,stand,NN,39
threat,727,threat,threat,NN,39
devil,4222,devil,devil,NN,39
prequel,10807,prequel,prequel,NN,39
bible,14011,bible,bibl,JJ,39
stress,5250,stress,stress,NN,38
mercenary,150,mercenary,mercenari,NN,38
norway,74,norway,norway,RB,38
museum,5911,museum,museum,NN,38
castle,1779,castle,castl,NN,38
pennsylvania,950,pennsylvania,pennsylvania,NN,38
cyborg,4695,cyborg,cyborg,NN,38
double,4562,double,doubl,RB,38
francisco,13,francisco,francisco,NN,38
climb,9272,climbing,climb,VB,38
virgin,683,virgin,virgin,NN,38
river,13169,river,river,NN,38
career,4227,career,career,NN,38
pretend,2114,pretend,pretend,NN,38
motion,2493,motion,motion,NN,38
breakup,2188,breakup,breakup,NN,38
training,11063,training,train,NN,38
spanish,2474,spanish,spanish,JJ,38
infection,18596,infection,infect,NN,38
anti,1740,anti,anti,NN,38
stop,2492,stop,stop,NN,37
spider,10448,spider,spider,NN,37
call,733,call,call,NN,37
witness,6337,witness,wit,NN,37
ghetto,2713,ghetto,ghetto,NN,37
vega,15032,vegas,vega,NN,37
series,271,series,seri,NN,37
beauty,2143,beauty,beauti,NN,37
aspire,388,aspiring,aspir,VB,37
long,998,long,long,RB,37
la,15031,las,la,NN,37
disabled,3112,disabled,disabl,JJ,37
lead,4114,leading,lead,VB,37
syndrome,3047,syndrome,syndrom,NN,37
use,470,use,use,NN,37
drag,10248,drag,drag,NN,37
tokyo,2591,tokyo,tokyo,NN,37
stripper,5460,stripper,stripper,NN,37
exorcism,2961,exorcism,exorc,NN,37
casino,5826,casino,casino,NN,37
domestic,175,domestic,domest,JJ,37
therapy,3967,therapy,therapi,NN,36
dive,1278,diving,dive,VB,36
poverty,7796,poverty,poverti,NN,36
science,3933,science,scienc,NN,36
tattoo,5584,tattoo,tattoo,NN,36
immigration,3343,immigration,immigr,NN,36
blind,653,blind,blind,NN,36
election,401,election,elect,NN,36
pirate,17560,pirate,pirat,NN,36
christian,625,christian,christian,NN,36
waitress,10642,waitress,waitress,NN,36
dress,5315,dress,dress,NN,36
plan,4177,plans,plan,NN,36
day,2340,day,day,NN,36
role,12953,roles,role,NN,36
parallel,704,parallel,parallel,NN,36
italian,799,italian,italian,JJ,36
washington,1046,washington,washington,NN,36
traumatic,5249,traumatic,traumat,JJ,35
smuggle,8373,smuggling,smuggl,VB,35
racial,1970,racial,racial,JJ,35
manipulation,4129,manipulation,manipul,NN,35
fame,3007,fame,fame,NN,35
autism,1643,autism,autism,NN,35
company,6079,company,compani,NN,35
campaign,953,campaign,campaign,NN,35
freedom,6050,freedom,freedom,NN,35
argentina,3410,argentina,argentina,NN,35
northern,8585,northern,northern,JJ,35
german,14633,german,german,JJ,35
isolated,1507,isolated,isol,JJ,35
