id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average,n_keyf
45612,Source Code,2011-03-30,"['Thriller', 'Science Fiction', 'Mystery']",NkTrG-gpIzE,"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time.",https://www.youtube.com/watch?v=NkTrG-gpIzE,"['bomb', 'identity', 'bomber', 'suspicion', 'time travel', 'race against time', 'investigation', 'surrealism', 'time loop', 'soldier', 'helicopter pilot', 'time traveler']",20.422,6040,7.3,4329
34016,She's Out of My League,2010-03-11,"['Comedy', 'Romance']",oWJJGXvL7PM,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",https://www.youtube.com/watch?v=oWJJGXvL7PM,"['confidence', 'romantic comedy', 'dating', 'insecurity', 'airport security', 'unlikely lovers', 'twenty something', 'duringcreditsstinger', 'pittsburgh, pennsylvania', 'pittsburgh penguins']",15.375,1458,6.3,4542
75900,My Week with Marilyn,2011-11-23,['Drama'],NeHDZODFKNw,"Sir Laurence Olivier is making a movie in London. Young Colin Clark, an eager film student, wants to be involved and he navigates himself a job on the set. When film star Marilyn Monroe arrives for the start of shooting, all of London is excited to see the blonde bombshell, while Olivier is struggling to meet her many demands and acting ineptness, and Colin is intrigued by her. Colin's intrigue is met when Marilyn invites him into her inner world where she struggles with her fame, her beauty and her desire to be a great actress.",https://www.youtube.com/watch?v=NeHDZODFKNw,"['based on novel or book', 'jealousy', 'prince', 'biography', 'tenderness', 'historical figure', 'celebrity', 'blonde', 'film in film', 'filmmaking', 'sensuality', 'showgirl', 'movie star', '1950s', 'memoir']",10.405999999999999,969,6.7,4470
11880,Dog Soldiers,2002-05-10,"['Horror', 'Action', 'Thriller']",R_0Ej5N-hFQ,"A squad of British soldiers on training in the lonesome Scottish wilderness find a wounded Special Forces captain and the remains of his team. As they encounter zoologist Megan, it turns out that werewolves are active in the region. They have to prepare for some action as the there will be a full moon tonight...",https://www.youtube.com/watch?v=R_0Ej5N-hFQ,"['scotland', 'wilderness', 'british army', 'grenade', 'full moon', 'forest', 'dark comedy', 'werewolf', 'soldier', 'cult film', 'survival horror', 'standoff', 'molotov cocktail']",11.718,525,6.7,4323
11798,This Is England,2006-09-12,"['Drama', 'Crime']",SfoJx6t97RE,"A story about a troubled boy growing up in England, set in 1983. He comes across a few skinheads on his way home from school, after a fight. They become his new best friends, even like family. Based on experiences of director Shane Meadows.",https://www.youtube.com/watch?v=SfoJx6t97RE,"['holiday', 'skinhead', 'england', 'vandalism', 'nottingham', 'gang', 'racism', 'summer', 'violence', 'drugs', 'falklands war', 'cult film', 'unemployment', 'xenophobia', 'culture', '1980s']",4.583,846,7.5,4230
35791,Resident Evil: Afterlife,2010-09-09,"['Action', 'Adventure', 'Horror', 'Science Fiction']",SRRN6MvCdeg,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",https://www.youtube.com/watch?v=SRRN6MvCdeg,"['post-apocalyptic future', 'dystopia', 'undead', 'biohazard', 'evil corporation', 'resident evil', 'zombie', 'based on video game', 'duringcreditsstinger']",1.53,2744,6.0,4239
84892,The Perks of Being a Wallflower,2012-09-20,['Drama'],QE7CGX1d6LU,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",https://www.youtube.com/watch?v=QE7CGX1d6LU,"['based on novel or book', 'trauma', 'school friend', 'friendship', 'high school', 'freshman', 'coming of age', 'school', 'teenage boy', 'high school student', 'first love', 'aunt nephew relationship', 'lgbt', 'mental health', 'lgbt teen', 'pittsburgh, pennsylvania', 'anxiety', '1990s', 'emotional', 'based on young adult novel']",19.016,7932,7.8,4341
4327,Charlie's Angels,2000-11-02,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",RFuZhw5b1KA,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",https://www.youtube.com/watch?v=RFuZhw5b1KA,"['martial arts', 'female friendship', 'millionaire', 'agent']",19.834,3097,5.8,4608
608,Men in Black II,2002-07-03,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",p4NJHqoojOU,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",https://www.youtube.com/watch?v=p4NJHqoojOU,"['saving the world', 'new york city', 'secret identity', 'undercover', 'space marine', 'illegal immigration', 'deportation', 'new identity', 'flying saucer', 'light', 'firearm', 'alien', 'buddy cop', 'fictional government agency']",30.51,7500,6.3,4326
70,Million Dollar Baby,2004-12-15,['Drama'],shbZOZmoyF0,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",https://www.youtube.com/watch?v=shbZOZmoyF0,"['transporter', 'suicide attempt', 'fight', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'tragedy', 'female protagonist', 'brutality', 'boxing trainer', 'unlikely friendship', 'female boxing', 'knockout', 'euthanasia', 'determination']",22.622,6764,8.0,4443
10201,Yes Man,2008-12-09,['Comedy'],rvpsiIe2vBE,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,https://www.youtube.com/watch?v=rvpsiIe2vBE,"['bungee-jump', 'scooter']",20.846,4798,6.6,4077
107,Snatch,2000-09-01,"['Crime', 'Comedy']",ni4tEtuTccc,"Illegal boxing promoter Turkish convinces gangster Brick Top to offer bets on bare-knuckle boxer Mickey at his bookie business. When Mickey does not throw his first fight as agreed, an infuriated Brick Top demands another match. Meanwhile, gangster Frankie Four Fingers comes to place a bet for a friend with Brick Top's bookies, as multiple criminals converge on a stolen diamond that Frankie has come to London to sell.",https://www.youtube.com/watch?v=ni4tEtuTccc,"['england', 'gypsy', 'gambling', 'bare knuckle boxing', 'slang', 'robbery', 'trailer park', 'antwerp', 'boxer', 'pig', 'violence', 'underground fighting', 'cult film', 'diamond heist', 'pikey']",19.987000000000002,6422,7.8,4443
18240,The Proposal,2009-06-01,"['Comedy', 'Romance', 'Drama']",RFL8b1p1ELY,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",https://www.youtube.com/watch?v=RFL8b1p1ELY,"['fictitious marriage', 'deportation', 'immigration law', 'alaska', 'co-worker relationship', 'humiliation', 'book editor', 'fake boyfriend', 'duringcreditsstinger', 'woman director', 'pretend relationship']",33.6,4679,7.0,4992
1824,50 First Dates,2004-02-13,"['Comedy', 'Romance']",Q_2AbjYeSMI,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",https://www.youtube.com/watch?v=Q_2AbjYeSMI,"['deja vu', 'amnesia', 'hawaii', 'ladykiller', 'veterinarian', 'romantic comedy', 'short term memory loss']",25.483,5434,6.8,4803
16869,Inglourious Basterds,2009-08-18,"['Drama', 'Action', 'Thriller', 'War']",sE8hc4gVyGo,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",https://www.youtube.com/watch?v=sE8hc4gVyGo,"['paris, france', 'guerrilla', 'cinema', 'self sacrifice', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'nazi', 'masochism', 'sadism', 'anti-semitism', 'swastika', 'german occupation of france', 'violence', 'british politics', 'hitler', 'adolf hitler']",49.825,16363,8.2,4344
7978,The Wolfman,2010-02-11,"['Horror', 'History', 'Drama', 'Thriller']",NS3nTkvvHi8,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",https://www.youtube.com/watch?v=NS3nTkvvHi8,"['parent child relationship', 'victorian england', 'remake', 'curse', 'rural area', 'blood', 'werewolf', 'flesh']",19.173,1383,5.8,4434
13515,Mirrors,2008-08-15,"['Horror', 'Mystery', 'Thriller', 'Drama']",O92QxxgeCO8,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,https://www.youtube.com/watch?v=O92QxxgeCO8,"['schizophrenia', 'night watchman', 'subway', 'hallucination', 'alcoholism', 'ex-cop', 'possession', 'remake', 'morgue', 'rural area', 'medication', 'demon', 'psychiatrist', 'estranged wife', 'nypd', 'evil', 'newspaper clipping']",20.191,1268,6.2,4404
2251,Unfaithful,2002-05-10,['Thriller'],Teot5igj2mU,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",https://www.youtube.com/watch?v=Teot5igj2mU,"['new york city', 'adultery', 'infidelity', 'eroticism', 'literature', 'lover', 'erotic thriller']",23.416,941,6.6,4965
